"Kierunek","kierunek_lc"
"JARNOŁTÓW 109(17723)","jarnołtów 109(17723)"
"Jerzmanowska","jerzmanowska"
"Jerzmanowska (Pętla)","jerzmanowska (pętla)"
"Jerzmanowska (PĘTLA)","jerzmanowska (pętla)"
"JERZMANOWSKA PĘTLA","jerzmanowska pętla"
"JERZMANOWSKA (Pętla) W/a(17710)","jerzmanowska (pętla) w/a(17710)"
"KAMIEŃ","kamień"
"Kamieńskiego","kamieńskiego"
"KAMIEŃSKIEGO","kamieńskiego"
"KAMIEŃSKIEGO (Pętla) ","kamieńskiego (pętla) "
"KAMIEŃSKIEGO (Pętla) 144(23165)","kamieńskiego (pętla) 144(23165)"
"KAMIEŃSKIEGO (Pętla) K(23166)","kamieńskiego (pętla) k(23166)"
"Kamień Jantarowa","kamień jantarowa"
"KAMIEŃ JANTAROWA","kamień jantarowa"
"Kamień Jantarowa ","kamień jantarowa "
"Kamień Jantarowa PnZ/a(326149)","kamień jantarowa pnz/a(326149)"
"Kiecyw","kiecyw"
"Kiełczowska – cmentarz","kiełczowska – cmentarz"
"Kiełczowska - cmentarz ","kiełczowska - cmentarz "
"Kiełczowska - cmentarz Z/a(29926)","kiełczowska - cmentarz z/a(29926)"
"KIEŁCZÓW","kiełczów"
"Kiełczówek - pętla","kiełczówek - pętla"
"Kiełczówek - pętla 931(326954)","kiełczówek - pętla 931(326954)"
"KIEŁCZÓW ","kiełczów "
"KIEŁCZÓW 911(326941)","kiełczów 911(326941)"
"Kierunek przeciwny do Grunwaldu","kierunek przeciwny do grunwaldu"
"Klecina","klecina"
"KLECINA 17(16410)","klecina 17(16410)"
"KLECINA (Stacja kolejowa) 107(16724)","klecina (stacja kolejowa) 107(16724)"
"Klenica","klenica"
"KłOKOCZYCE ","kłokoczyce "
"KŁOKOCZYCE ","kłokoczyce "
"KŁOKOCZYCE 147(29517)","kłokoczyce 147(29517)"
"KOSZAROWA","koszarowa"
"Koszarowa Szpital","koszarowa szpital"
"KOSZAROWA (Szpital) ","koszarowa (szpital) "
"KOSZAROWA (Szpital) pętla(23710)","koszarowa (szpital) pętla(23710)"
"KOŚCIUSZKI","kościuszki"
"Kowale","kowale"
"KOWALE","kowale"
"KOWALE ","kowale "
"KOWALE 6(24016)","kowale 6(24016)"
"Kozanów","kozanów"
"KOZANÓW","kozanów"
"KOZANÓW ","kozanów "
"KOZANÓW 126(12720)","kozanów 126(12720)"
"KOZANÓW 127(12736)","kozanów 127(12736)"
"KOZANÓW 135/435(12738)","kozanów 135/435(12738)"
"KOZANÓW C(12718)","kozanów c(12718)"
"kromera","kromera"
"Kromera","kromera"
